84172
_ po:div
maya/S.() po:nom is:epi
maye/S.() po:nom is:fem
mayo/S.() po:nom is:fem
méat/S.() po:nom is:mas
médiastinal/W.() po:adj
médiatisant/F.() po:adj
méditerrané/F.() po:adj
méga/S.() po:nom is:mas
mélo/S.() po:nom is:mas
même/S.() po:adj is:epi
mème/S.() po:nom is:mas
mémé/S.() po:nom is:fem
mémo/S.() po:nom is:mas
menu/S.() po:nom is:mas
mercaticien/F+() po:nom
mère/S.() po:nom is:fem
mesa/S.() po:nom is:fem
mésothélial/W.() po:adj
méta/S.() po:nom is:mas
métacarpien/F+() po:adj
métalliseur/Fs() po:nom
métatarsien/F+() po:adj
métatextuel/F+() po:adj
meuf/S.() po:nom is:fem
mica/S.() po:nom is:mas
micronésien/F+() po:adj
microporeux/W.() po:adj
microsomial/W.() po:adj
midi/S.() po:nom is:mas
miel/S.() po:nom is:mas
mien/F+() po:nom po:adj
mile/S.() po:nom is:mas
mime/S.() po:nom is:epi
mimi/S.() po:nom is:mas
mine/S.() po:nom is:fem
mini/S.() po:nom is:epi
ministériel/F+() po:adj
mire/S.() po:nom is:fem
mise/S.() po:nom is:fem
miso/S.() po:nom is:mas
miss/A.() po:nom is:fem
mite/S.() po:nom is:fem
mitrailleur/Fs() po:nom
moco/S.() po:nom is:mas
mode/S.() po:nom is:epi
modificatif/F.() po:adj
moie/S.() po:nom is:fem
moissonneur/Fs() po:nom
moka/S.() po:nom is:mas
môle/S.() po:nom is:epi
mole/Um() po:nom is:fem
mollement/L'D'Q' po:adv
moly/S.() po:nom is:mas
môme/S.() po:nom is:epi
mono/S.() po:nom is:epi
monocaméral/W.() po:adj
monologueur/Fs() po:nom
monovariant/F.() po:adj
mont/S.() po:nom is:mas
more/S.() po:nom is:fem
moré/S.() po:nom is:mas
mornement/L'D'Q' po:adv
mort/S.() po:nom is:fem
moto/S.() po:nom is:fem
moue/S.() po:nom is:fem
moût/S.() po:nom is:mas
moxa/S.() po:nom is:mas
muet/F+() po:nom po:adj
muge/S.() po:nom is:mas
muid/S.() po:nom is:mas
mule/S.() po:nom is:fem
mull/S.() po:nom is:mas
multicausal/W.() po:adj
multigradué/F.() po:adj
multinomial/W.() po:adj
multinucléé/F.() po:adj
multiracial/W.() po:adj
multivalent/F.() po:adj
muon/S.() po:nom is:mas
mûre/S.() po:nom is:fem
musc/S.() po:nom is:mas
muse/S.() po:nom is:fem
mussolinien/F+() po:adj
must/S.() po:nom is:mas
mycorhizien/F+() po:adj
myorelaxant/F.() po:adj
naan/S.() po:nom is:mas
nabi/S.() po:nom is:mas
naco/S.() po:nom is:mas
nafé/S.() po:nom is:mas
nage/S.() po:nom is:fem
naïf/F.() po:nom po:adj
nain/F.() po:nom po:adj
naïvement/L'D'Q' po:adv
naja/S.() po:nom is:mas
nana/S.() po:nom is:fem
nard/S.() po:nom is:mas
nazi/F.() po:nom po:adj
néanmoins/L'D'Q' po:adv
nécessitant/F.() po:adj
neck/S.() po:nom is:mas
négo/S.() po:nom is:fem
négociateur/Fc() po:nom
néné/S.() po:nom is:mas
néocolonial/W.() po:adj
néocortical/W.() po:adj
néon/S.() po:nom is:mas
nèpe/S.() po:nom is:fem
nerd/S.() po:nom is:epi
nerf/S.() po:nom is:mas
nettement/L'D'Q' po:adv
neuf/F.() po:nom po:adj
neuromoteur/Fc() po:adj
névé/S.() po:nom is:mas
nife/S.() po:nom is:epi
nixe/S.() po:nom is:fem
noblement/L'D'Q' po:adv
nobo/S.() po:nom is:mas
noce/S.() po:nom is:fem
noël/S.() po:nom is:mas
nœud/S.() po:nom is:mas
noir/F.() po:nom po:adj
noircissant/F.() po:adj
nome/S.() po:nom is:mas
nommément/L'D'Q' po:adv
none/S.() po:nom is:fem
nope/S.() po:nom is:fem
notamment/L'D'Q' po:adv
note/S.() po:nom is:fem
notificatif/F.() po:adj
noue/S.() po:nom is:fem
nourrissant/F.() po:adj
nova/S.() po:nom is:fem
nuée/S.() po:nom is:fem
nuit/S.() po:nom is:fem
nullement/L'D'Q' po:adv
nycthéméral/W.() po:adj
obédientiel/F+() po:adj
obel/S.() po:nom is:mas
obit/S.() po:nom is:mas
obsolescent/F.() po:adj
obstétrical/W.() po:adj
occasionnel/F+() po:adj
ocre/S.() po:nom is:epi
octa/S.() po:nom is:mas
oculomoteur/Fc() po:adj
odoriférant/F.() po:adj
oing/S.() po:nom is:mas
oint/S.() po:nom is:mas
oléiculteur/Fc() po:nom
omniprésent/F.() po:adj
once/S.() po:nom is:fem
onde/S.() po:nom is:fem
open/S.() po:nom is:mas
oral/X.() po:nom is:mas
oralement/L'D'Q' po:adv
orbe/S.() po:nom is:mas
ordi/S.() po:nom is:mas
orée/S.() po:nom is:fem
orga/S.() po:nom is:fem
orge/S.() po:nom is:fem
orientateur/Fc() po:nom
orin/S.() po:nom is:mas
orle/S.() po:nom is:mas
orme/S.() po:nom is:mas
orthonormal/W.() po:adj
oscillateur/Fc() po:nom
ostentateur/Fc() po:adj
oued/S.() po:nom is:mas
oui/D'Q'Q* po:mg po:adv
oui-da/L'D'Q' po:interj
ouïe/S.() po:nom is:fem
ouille/L'D'Q' po:interj
ouïr/iW() po:v3_it____a
outre/L'D'Q'Q*Qj po:adv
outre-mer/L'D'Q' po:adv
ouzo/S.() po:nom is:mas
ovin/S.() po:nom is:mas
ovni/S.() po:nom is:mas
oyat/S.() po:nom is:mas
paca/S.() po:nom is:mas
pack/S.() po:nom is:mas
page/S.() po:nom is:epi
paie/S.() po:nom is:fem
pain/S.() po:nom is:mas
pair/F.() po:nom po:adj
pairement/L'D'Q' po:adv
pala/S.() po:nom is:fem
pâle/S.() po:adj is:epi
pale/S.() po:nom is:fem
palefrenier/F.() po:nom
palmatilobé/F.() po:adj
panafricain/F.() po:adj
paneuropéen/F+() po:adj
pantouflier/F.() po:nom
pantropical/W.() po:adj
papilionacé/F.() po:adj
papillotant/F.() po:adj
papy/S.() po:nom is:mas
para/S.() po:nom is:epi
paraphernal/W.() po:adj
paraveineux/W.() po:adj
parc/S.() po:nom is:mas
par-dehors po:mg po:adv
pari/S.() po:nom is:mas
part/S.() po:nom is:epi
partenarial/W.() po:adj
participial/W.() po:adj
passionnant/F.() po:adj
pâte/S.() po:nom is:fem
pâté/S.() po:nom is:mas
patrimonial/W.() po:adj
pavé/S.() po:nom is:mas
pavimenteux/W.() po:adj
paye/S.() po:nom is:fem
péan/S.() po:nom is:mas
peau/X.() po:nom is:fem
peccamineux/W.() po:adj
pédé/S.() po:nom is:mas
pêle-mêle/L'D'Q' po:adv
pelliculeux/W.() po:adj
pêne/S.() po:nom is:mas
pénitential/W.() po:adj
pénitentiel/F+() po:adj
pentavalent/F.() po:adj
péon/S.() po:nom is:mas
pépé/S.() po:nom is:mas
père/S.() po:nom is:mas
perf/S.() po:nom is:fem
performatif/F.() po:adj
péri/S.() po:nom is:fem
périclitant/F.() po:adj
péri-urbain/F.() po:adj
persécutant/F.() po:adj
persécuteur/Fc() po:nom
perturbatif/F.() po:adj
pesamment/L'D'Q' po:adv
peso/S.() po:nom is:mas
pétrogazier/F.() po:adj
peul/F.() po:nom po:adj
peur/S.() po:nom is:fem
pèze/S.() po:nom is:mas
pharamineux/W.() po:adj
philosophal/F.() po:adj
phlegmoneux/W.() po:adj
phonéticien/F+() po:nom
phosphoreux/W.() po:adj
phot/S.() po:nom is:mas
piaf/S.() po:nom is:mas
pian/S.() po:nom is:mas
pica/S.() po:nom is:mas
pied/S.() po:nom is:mas
pier/S.() po:nom is:mas
pieu/X.() po:nom is:mas
pige/S.() po:nom is:fem
pile/S.() po:nom is:fem
pilo-sébacé/F.() po:adj
pine/S.() po:nom is:fem
pipe/S.() po:nom is:fem
pipi/S.() po:nom is:mas
pire/S.() po:adj is:epi
pire/S.() po:nom is:mas
pisé/S.() po:nom is:mas
pita/S.() po:nom is:fem
pite/S.() po:nom is:fem
pive/S.() po:nom is:epi
plaisancier/F.() po:nom
plan/F.() po:nom po:adj
plastifiant/F.() po:adj
plastiqueur/Fs() po:nom
plat/F.() po:nom po:adj
platement/L'D'Q' po:adv
platonicien/F+() po:adj
plie/S.() po:nom is:fem
plip/S.() po:nom is:mas
plot/S.() po:nom is:mas
pluriannuel/F+() po:adj
pluripotent/F.() po:adj
plurivalent/F.() po:adj
pneu/S.() po:nom is:mas
pogo/S.() po:nom is:mas
poil/S.() po:nom is:mas
poinçonneur/Fs() po:nom
pointilleux/W.() po:adj
poissonneux/W.() po:adj
pôle/S.() po:nom is:mas
polo/S.() po:nom is:mas
poly/S.() po:nom is:mas
polylexical/W.() po:adj
pomiculteur/Fc() po:nom
pondérateur/Fc() po:adj
pont/S.() po:nom is:mas
pool/S.() po:nom is:mas
pope/S.() po:nom is:mas
porc/S.() po:nom is:mas
pore/S.() po:nom is:mas
port/S.() po:nom is:mas
pose/S.() po:nom is:fem
positionnel/F+() po:adj
post/S.() po:nom is:mas
post-coïtal/W.() po:adj
postpalatal/W.() po:adj
postulateur/Fc() po:nom
pote/S.() po:nom is:epi
poud/S.() po:nom is:mas
pouf/S.() po:nom is:mas
pourfendeur/Fs() po:nom
pourrissant/F.() po:adj
poursuiteur/Fs() po:nom
poursuivant/F.() po:nom
poursuiveur/Fs() po:nom
poussiéreux/W.() po:adj
poya/S.() po:nom is:fem
prao/S.() po:nom is:mas
précambrien/F+() po:adj
préceptoral/W.() po:adj
précolonial/W.() po:adj
prédicateur/Fc() po:nom
prédominant/F.() po:adj
préexistant/F.() po:adj
préfectoral/W.() po:adj
préjudiciel/F+() po:adj
prénasalisé/F.() po:adj
préoccupant/F.() po:adj
préretraité/F.() po:nom
presbytéral/W.() po:adj
prescriptif/F.() po:adj
préservatif/F.() po:adj
presqu'/-- po:mg po:adv
prestigieux/W.() po:adj
prêt/S.() po:nom is:mas
prétentiard/F.() po:nom
probabilisé/F.() po:adj
procréateur/Fc() po:nom
procurateur/Fc() po:nom
procureur/F.Gs() po:nom
prod/S.() po:nom is:epi
prof/S.() po:nom is:epi
professoral/W.() po:adj
progéniteur/Fc() po:nom
progestatif/F.() po:adj
programmeur/Fs() po:nom
proliférant/F.() po:adj
protubérant/F.() po:adj
prurigineux/W.() po:adj
psychoactif/F.() po:adj
publicateur/Fc() po:nom
puce/S.() po:nom is:fem
pull/S.() po:nom is:mas
pulvérulent/F.() po:adj
puma/S.() po:nom is:mas
puna/S.() po:nom is:fem
punk/S.() po:nom is:epi
pupe/S.() po:nom is:fem
pute/S.() po:nom is:fem
putt/S.() po:nom is:mas
pyrograveur/Fs() po:nom
pyroligneux/W.() po:adj
qbit/S.() po:nom is:mas
quad/S.() po:nom is:mas
quadriennal/W.() po:adj
quadrifolié/F.() po:adj
quadriparti/F.() po:adj
quai/S.() po:nom is:mas
qualiticien/F+() po:nom
quant po:mg po:loc.prep
quantitatif/F.() po:adj
quasiment/L'D'Q' po:adv
quinquennal/W.() po:adj
rabelaisien/F+() po:adj
rabouilleur/Fs() po:nom
race/S.() po:nom is:fem
rack/S.() po:nom is:mas
rade/S.() po:nom is:epi
radio-actif/F.() po:adj
raft/S.() po:nom is:mas
rage/S.() po:nom is:fem
raïa/S.() po:nom is:mas
raid/S.() po:nom is:mas
raidement/L'D'Q' po:adv
raie/S.() po:nom is:fem
rail/S.() po:nom is:mas
raja/S.() po:nom is:mas
raki/S.() po:nom is:mas
râle/S.() po:nom is:mas
rame/S.() po:nom is:fem
rami/S.() po:nom is:mas
rand/S.() po:nom is:mas
rang/S.() po:nom is:mas
rani/S.() po:nom is:fem
râpe/S.() po:nom is:fem
rapt/S.() po:nom is:mas
rare/S.() po:adj is:epi
rash/A.() po:nom is:mas
ratiocinant/F.() po:adj
ratiocineur/Fs() po:nom
rave/S.() po:nom is:fem
Dre/S.() po:titr is:fem
raya/S.() po:nom is:mas
réactionnel/F+() po:adj
réal/W.() po:nom po:adj
récemment/L'D'Q' po:adv
réchauffant/F.() po:adj
référentiel/F+() po:adj
réfrigérant/F.() po:adj
régénératif/F.() po:adj
réhydratant/F.() po:adj
rein/S.() po:nom is:mas
réjouissant/F.() po:adj
relationnel/F+() po:adj
remémoratif/F.() po:adj
rempailleur/Fs() po:nom
rêne/S.() po:nom is:fem
répartiteur/Fc() po:nom
reproductif/F.() po:adj
répurgateur/Fc() po:nom
résidentiel/F+() po:adj
respectueux/W.() po:adj
resquilleur/Fs() po:nom
ressemblant/F.() po:adj
ressemeleur/Fs() po:nom
restituteur/Fc() po:nom
restringent/F.() po:adj
retardateur/Fc() po:adj
rêve/S.() po:nom is:mas
réverbérant/F.() po:adj
révérenciel/F+() po:adj
révisionnel/F+() po:adj
revivifiant/F.() po:adj
reviviscent/F.() po:adj
rhizomateux/W.() po:adj
rhum/S.() po:nom is:mas
rhumatismal/W.() po:adj
rial/S.() po:nom is:mas
richement/L'D'Q' po:adv
ride/S.() po:nom is:fem
ried/S.() po:nom is:mas
riel/S.() po:nom is:mas
rien/S.() po:nom is:mas
riff/S.() po:nom is:mas
rift/S.() po:nom is:mas
rime/S.() po:nom is:fem
ring/S.() po:nom is:mas
ripe/S.() po:nom is:fem
rire/S.() po:nom is:mas
rire/yW() po:v3_i__q__a
rite/S.() po:nom is:mas
rive/S.() po:nom is:fem
rixe/S.() po:nom is:fem
riziculteur/Fc() po:nom
robe/S.() po:nom is:fem
rock/S.() po:nom is:mas
rôde/S.() po:nom is:fem
roidement/L'D'Q' po:adv
rôle/S.() po:nom is:mas
rond/F.() po:nom po:adj
rondement/L'D'Q' po:adv
roof/S.() po:nom is:mas
rosé/S.() po:nom is:mas
rotationnel/F+() po:adj
roué/F.() po:nom po:adj
roue/S.() po:nom is:fem
rouf/S.() po:nom is:mas
roux/Wx() po:nom po:adj
rude/S.() po:adj is:epi
ruée/S.() po:nom is:fem
rune/S.() po:nom is:fem
rusé/F.() po:nom po:adj
ruse/S.() po:nom is:fem
rush/A.() po:nom is:mas
sacramentel/F+() po:adj
sacrément/L'D'Q' po:adv
sacrificiel/F+() po:adj
sacro-saint/F.() po:adj
sadd/S.() po:nom is:mas
sadico-anal/W.() po:adj
saga/S.() po:nom is:fem
saie/S.() po:nom is:fem
sainement/L'D'Q' po:adv
saké/S.() po:nom is:mas
saki/S.() po:nom is:mas
sale/S.() po:adj is:epi
sale/S.() po:nom is:mas
same/S.() po:nom is:mas
sana/S.() po:nom is:mas
sanctifiant/F.() po:adj
sang/S.() po:nom is:mas
sape/S.() po:nom is:fem
sarcomateux/W.() po:adj
sari/S.() po:nom is:mas
Dʳ po:titr is:mas is:sg
saut/S.() po:nom is:mas
savamment/L'D'Q' po:adv
saxe/S.() po:nom is:mas
saxo/S.() po:nom is:mas
scan/S.() po:nom is:mas
scat/S.() po:nom is:mas
scie/S.() po:nom is:fem
sciemment/L'D'Q' po:adv
scintillant/F.() po:adj
sclérifiant/F.() po:adj
seau/X.() po:nom is:mas
sèchement/L'D'Q' po:adv
séga/S.() po:nom is:mas
seigneurial/W.() po:adj
sein/S.() po:nom is:mas
self/S.() po:nom is:epi
sémanticien/F+() po:nom
sémioticien/F+() po:nom
semi-public/F.() po:adj
sempiternel/F+() po:adj
séné/S.() po:nom is:mas
sénégambien/F+() po:adj
sensément/L'D'Q' po:adv
sentencieux/W.() po:adj
séquestrant/F.() po:adj
serf/S.() po:nom is:mas
serpigineux/W.() po:adj
seul/F.() po:nom po:adj
seulement/L'D'Q' po:adv
sève/S.() po:nom is:fem
sexagésimal/W.() po:adj
sexe/S.() po:nom is:mas
sforzando/L'D'Q' po:adv
shah/S.() po:nom is:mas
shit/S.() po:nom is:mas
shot/S.() po:nom is:mas
show/S.() po:nom is:mas
sial/S.() po:nom is:mas
sien/F+() po:nom po:adj
sikh/F.() po:nom po:adj
sill/S.() po:nom is:mas
silo/S.() po:nom is:mas
sima/S.() po:nom is:mas
sipo/S.() po:nom is:mas
sire/S.() po:nom is:mas
site/S.() po:nom is:mas
sium/S.() po:nom is:mas
skaï/S.() po:nom is:mas
skin/S.() po:nom is:epi
slam/S.() po:nom is:mas
slim/S.() po:nom is:mas
slip/S.() po:nom is:mas
slow/S.() po:nom is:mas
smog/S.() po:nom is:mas
smorzando/L'D'Q' po:adv
soap/S.() po:nom is:mas
sobrement/L'D'Q' po:adv
soda/S.() po:nom is:mas
sœur/S.() po:nom is:fem
sofa/S.() po:nom is:mas
soft/S.() po:nom is:mas
soie/S.() po:nom is:fem
soif/S.() po:nom is:fem
soin/S.() po:nom is:mas
soir/S.() po:nom is:mas
soja/S.() po:nom is:mas
sole/S.() po:nom is:fem
solfatarien/F+() po:adj
solliciteur/Fs() po:nom
solo/I.() po:nom is:mas
soma/S.() po:nom is:mas
sommeillant/F.() po:adj
sommeilleux/W.() po:adj
sono/S.() po:nom is:fem
sore/S.() po:nom is:mas
sort/S.() po:nom is:mas
sostenuto/L'D'Q' po:adv
sottement/L'D'Q' po:adv
soue/S.() po:nom is:fem
soui/S.() po:nom is:mas
souk/S.() po:nom is:mas
soupçonneux/W.() po:adj
sourcilleux/W.() po:adj
sous-cutané/F.() po:adj
sous-équipé/F.() po:adj
sous-jacent/F.() po:adj
sous-maître/F+() po:nom
sous-peuplé/F.() po:adj
sous-préfet/F.() po:nom
sous-pubien/F+() po:adj
soustractif/F.() po:adj
sous-vireur/Fs() po:adj
soya/S.() po:nom is:mas
spam/S.() po:nom is:mas
spéculateur/Fc() po:nom
spet/S.() po:nom is:mas
spin/S.() po:nom is:mas
splash/L'D'Q' po:interj
spot/S.() po:nom is:mas
stabilisant/F.() po:adj
star/S.() po:nom is:fem
stem/S.() po:nom is:mas
step/S.() po:nom is:mas
stérilisant/F.() po:adj
stop/S.() po:nom is:mas
stot/S.() po:nom is:mas
strombolien/F+() po:adj
structurant/F.() po:adj
stuc/S.() po:nom is:mas
suavement/L'D'Q' po:adv
subsaharien/F+() po:adj
subspontané/F.() po:adj
substantiel/F+() po:adj
substitutif/F.() po:adj
subtropical/W.() po:adj
succenturié/F.() po:adj
successoral/W.() po:adj
suée/S.() po:nom is:fem
suie/S.() po:nom is:fem
suif/S.() po:nom is:mas
sumo/S.() po:nom is:mas
superficiel/F+() po:adj
supermassif/F.() po:adj
superovarié/F.() po:adj
superviseur/Fs() po:nom
suppliciant/F.() po:adj
suppresseur/Fs() po:adj
suprahumain/F.() po:adj
supranormal/W.() po:adj
surabondant/F.() po:adj
surencombré/F.() po:adj
surexcitant/F.() po:adj
surf/S.() po:nom is:mas
surplombant/F.() po:adj
surpuissant/F.() po:adj
surrénalien/F+() po:adj
sursaturant/F.() po:adj
survitaminé/F.() po:adj
swap/S.() po:nom is:mas
systémicien/F+() po:nom
tabaculteur/Fc() po:nom
taco/S.() po:nom is:mas
tact/S.() po:nom is:mas
taël/S.() po:nom is:mas
taff/S.() po:nom is:mas
taïaut/L'D'Q' po:interj
taie/S.() po:nom is:fem
tain/S.() po:nom is:mas
talc/S.() po:nom is:mas
tank/S.() po:nom is:mas
taon/S.() po:nom is:mas
tape/S.() po:nom is:fem
taré/F.() po:nom po:adj
tare/S.() po:nom is:fem
taro/S.() po:nom is:mas
tata/S.() po:nom is:epi
taud/S.() po:nom is:mas
taxe/S.() po:nom is:fem
taxi/S.() po:nom is:mas
tech/S.() po:nom is:fem
teck/S.() po:nom is:mas
téju/S.() po:nom is:mas
télé/S.() po:nom is:fem
télé-acteur/Fc() po:nom
téléconduit/F.() po:adj
télémétreur/Fs() po:nom
télévendeur/Fs() po:nom
tell/S.() po:nom is:mas
tellement/L'D'Q' po:adv
tendancieux/W.() po:adj
tensioactif/F.() po:adj
tenu/S.() po:nom is:mas
territorial/W.() po:adj
terrorisant/F.() po:adj
test/S.() po:nom is:mas
testimonial/W.() po:adj
tête/S.() po:nom is:fem
tétravalent/F.() po:adj
têtu/F.() po:nom po:adj
teuf/S.() po:nom is:fem
thaï/F.() po:nom po:adj
thermocollé/F.() po:adj
thermohalin/F.() po:adj
thermostaté/F.() po:adj
thon/S.() po:nom is:mas
thym/S.() po:nom is:mas
tian/S.() po:nom is:mas
tièdement/L'D'Q' po:adv
tien/F+() po:nom po:adj
tige/S.() po:nom is:fem
tiki/S.() po:nom is:mas
tilt/S.() po:nom is:mas
tine/S.() po:nom is:fem
tintin/L'D'Q' po:interj
tipi/S.() po:nom is:mas
tire/S.() po:nom is:fem
tire-larigot po:loc.adv
titi/S.() po:nom is:mas
tofu/S.() po:nom is:mas
toge/S.() po:nom is:fem
toit/S.() po:nom is:mas
tôle/S.() po:nom is:fem
tolu/S.() po:nom is:mas
tome/S.() po:nom is:mas
tong/S.() po:nom is:fem
topo/S.() po:nom is:mas
tore/S.() po:nom is:mas
torr/S.() po:nom is:mas
torrentueux/W.() po:adj
tort/S.() po:nom is:mas
tory/A.() po:nom is:mas
toto/S.() po:nom is:mas
tour/S.() po:nom is:epi
tout/S.() po:nom is:mas
trac/S.() po:nom is:mas
tram/S.() po:nom is:mas
transcutané/F.() po:adj
transfuseur/Fs() po:nom
transparent/F.() po:adj
transpirant/F.() po:adj
transrhénan/F.() po:adj
transtibial/W.() po:adj
transversal/W.() po:adj
transylvain/F.() po:adj
trapézoïdal/W.() po:adj
trek/S.() po:nom is:mas
tremblotant/F.() po:adj
tribunitien/F+() po:adj
tric/S.() po:nom is:mas
MM po:titr is:mas is:pl
trimestriel/F+() po:adj
trio/S.() po:nom is:mas
trip/S.() po:nom is:mas
troc/S.() po:nom is:mas
tronçonneur/Fs() po:nom
trot/S.() po:nom is:mas
trou/S.() po:nom is:mas
truc/S.() po:nom is:mas
tsar/S.() po:nom is:mas
tuba/S.() po:nom is:mas
tube/S.() po:nom is:mas
tudieu/L'D'Q' po:interj
tune/S.() po:nom is:fem
tupi/F.() po:nom po:adj
turc/F.() po:nom po:adj
turf/S.() po:nom is:mas
tuto/S.() po:nom is:mas
tutu/S.() po:nom is:mas
type/S.() po:nom is:mas
typo/S.() po:nom is:epi
tzar/S.() po:nom is:mas
ubac/S.() po:nom is:mas
ulna/S.() po:nom is:fem
ultra-court/F.() po:adj
ultra-léger/F.() po:adj
ultraviolet/F+() po:adj
ulve/S.() po:nom is:fem
umbo/S.() po:nom is:mas
unau/S.() po:nom is:mas
unif/S.() po:nom is:fem
unifamilial/W.() po:adj
uniparental/W.() po:adj
univ/S.() po:nom is:fem
univitellin/F.() po:adj
urée/S.() po:nom is:fem
urgemment/L'D'Q' po:adv
urne/S.() po:nom is:fem
uro-génital/W.() po:adj
utilement/L'D'Q' po:adv
uvée/S.() po:nom is:fem
vaccinateur/Fc() po:nom
vachement/L'D'Q' po:adv
vaguement/L'D'Q' po:adv
vainement/L'D'Q' po:adv
vair/S.() po:nom is:mas
vamp/S.() po:nom is:fem
vape/S.() po:nom is:fem
vascularisé/F.() po:adj
vase/S.() po:nom is:epi
vastement/L'D'Q' po:adv
veau/X.() po:nom is:mas
vécu/S.() po:nom is:mas
veld/S.() po:nom is:mas
vélo/S.() po:nom is:mas
velu/F.() po:nom po:adj
vent/S.() po:nom is:mas
vérificatif/F.() po:adj
vert/F.() po:nom po:adj
vertement/L'D'Q' po:adv
vertigineux/W.() po:adj
veuf/F.() po:nom po:adj
vévé/S.() po:nom is:mas
vibrionnant/F.() po:adj
vice/S.() po:nom is:mas
victimisant/F.() po:adj
vide/S.() po:adj is:epi
vide/S.() po:nom is:mas
vioc/S.() po:nom is:epi
viol/S.() po:nom is:mas
vire/S.() po:nom is:fem
virevoltant/F.() po:adj
visa/S.() po:nom is:mas
vis-à-vis po:mg po:prep
vite/S.() po:adj is:epi
viticulteur/Fc() po:nom
vive/S.() po:nom is:fem
vlog/S.() po:nom is:mas
vocationnel/F+() po:adj
voie/S.() po:nom is:fem
vole/S.() po:nom is:fem
volitionnel/F+() po:adj
volt/Um() po:nom is:mas
vote/S.() po:nom is:mas
vrombissant/F.() po:adj
wall/S.() po:nom is:mas
watt/Um() po:nom is:mas
weed/S.() po:nom is:fem
weyr/S.() po:nom is:mas
wifi/S.() po:adj is:epi
wifi/S.() po:nom is:mas
wiki/S.() po:nom is:mas
yack/S.() po:nom is:mas
yaoi/S.() po:nom is:mas
yard/S.() po:nom is:mas
yawl/S.() po:nom is:mas
yeti/S.() po:nom is:mas
yéti/S.() po:nom is:mas
yoga/S.() po:nom is:mas
yogi/S.() po:nom is:epi
yole/S.() po:nom is:fem
youpie/L'D'Q' po:interj
yuan/S.() po:nom is:mas
yuzu/S.() po:nom is:mas
zain/S.() po:adj is:mas
zani/S.() po:nom is:mas
zébu/S.() po:nom is:mas
zèle/S.() po:nom is:mas
zéro/S.() po:nom is:mas
zinc/S.() po:nom is:mas
zizi/S.() po:nom is:mas
zona/S.() po:nom is:mas
zone/S.() po:nom is:fem
zoom/S.() po:nom is:mas
zouk/S.() po:nom is:mas
zozo/S.() po:nom is:mas
Vᵛᵉ po:titr is:fem is:sg
abaca/S.() po:nom is:mas
abîme/S.() po:nom is:mas
abloc/S.() po:nom is:mas
abord/S.() po:nom is:mas
about/S.() po:nom is:mas
absolument/L'D'Q' po:adv
acare/S.() po:nom is:mas
accastilleur/Fs() po:nom
accélérateur/Fc() po:adj
accompagnant/F.() po:adj
accon/S.() po:nom is:mas
accot/S.() po:nom is:mas
accul/S.() po:nom is:mas
acculturatif/F.() po:adj
acériculteur/Fc() po:nom
achat/S.() po:nom is:mas
acide/S.() po:adj is:epi
acide/S.() po:nom is:mas
acier/S.() po:nom is:mas
acore/S.() po:nom is:mas
acron/S.() po:nom is:mas
actée/S.() po:nom is:fem
actif/F.() po:nom po:adj
actionnarial/W.() po:adj
activement/L'D'Q' po:adv
acyle/S.() po:nom is:mas
adage/S.() po:nom is:mas
additionneur/Fs() po:nom
adèle/S.() po:nom is:fem
adent/S.() po:nom is:mas
adieu/X.() po:nom is:mas
adire/yG() po:v3____p_e_
adjudicateur/Fc() po:nom
admin/S.() po:nom is:epi
adobe/S.() po:nom is:mas
adret/S.() po:nom is:mas
aérodigestif/F.() po:adj
affabulateur/Fc() po:nom
affin/F.() po:nom po:adj
affût/S.() po:nom is:mas
after/S.() po:nom is:epi
agace/S.() po:nom is:fem
agami/S.() po:nom is:mas
agape/S.() po:nom is:fem
agate/S.() po:nom is:fem
agave/S.() po:nom is:mas
agavé/S.() po:nom is:mas
agger/S.() po:nom is:mas
agglo/S.() po:nom is:mas
agglutinatif/F.() po:adj
agile/S.() po:adj is:epi
agora/S.() po:nom is:fem
agrammatical/W.() po:adj
agrandissant/F.() po:adj
agropastoral/W.() po:adj
aigle/S.() po:nom is:epi
aigre/S.() po:adj is:epi
aiguilleteur/Fs() po:nom
aïoli/S.() po:nom is:mas
airée/S.() po:nom is:fem
aître/S.() po:nom is:mas
ajonc/S.() po:nom is:mas
ajour/S.() po:nom is:mas
ajout/S.() po:nom is:mas
akène/S.() po:nom is:mas
album/S.() po:nom is:mas
alcalinisant/F.() po:adj
alcée/S.() po:nom is:fem
aldol/S.() po:nom is:mas
alêne/S.() po:nom is:fem
aleph/S.() po:nom is:mas
alertement/L'D'Q' po:adv
alèse/S.() po:nom is:fem
alévi/F.() po:nom po:adj
algie/S.() po:nom is:fem
algue/S.() po:nom is:fem
alibi/S.() po:nom is:mas
alien/S.() po:nom is:mas
alise/S.() po:nom is:fem
alizé/S.() po:nom is:mas
allée/S.() po:nom is:fem
allegretto/L'D'Q' po:adv
aller/S.() po:nom is:mas
aller/aA() po:v1_i__e_e_
alleu/X.() po:nom is:mas
alloc/S.() po:nom is:fem
almée/S.() po:nom is:fem
alose/S.() po:nom is:fem
alourdissant/F.() po:adj
alule/S.() po:nom is:fem
alyte/S.() po:nom is:mas
amaigrissant/F.() po:adj
amant/F.() po:nom po:adj
ambigument/L'D'Q' po:adv
amble/S.() po:nom is:mas
ambon/S.() po:nom is:mas
ambre/S.() po:nom is:mas
